,sample1.mapped.sorted.bam_mean,sample1.mapped.sorted.bam_var
k141_2643,16.8424960243341,42.192562057104915
k141_5586,4.764417393983327,3.450849001844568
k141_1173,3.2056090367248644,2.466167693533088
k141_4053,47.33765940239044,447.47796835251285
k141_1176,5.9842323891810665,7.582030037695568
k141_4057,51.28851664581705,407.95273951344285
k141_2669,6.272998505747126,9.104222907913858
k141_1187,5.014364066985646,2.32782097298851
k141_5606,5.119554184046441,2.9943194890712057
k141_2678,4.2558332931726905,2.4458094225899583
k141_2679,2.408576721581549,1.0818476491726126
k141_4079,23.39173370877411,57.68383696037754
k141_1197,12.157391818181818,16.45465914512397
k141_1201,8.046057860768672,13.474684373343862
k141_2698,19.305721086226203,39.18740179558819
k141_4107,13.27922801954951,29.301987799046316
k141_5645,8.194102827004219,8.492295780412682
k141_1202,15.89113552017807,20.21490559761931
k141_1204,4.256567901471529,2.6981035902174773
k141_2717,13.111562203255259,22.873235022185497
k141_4128,11.725812174489525,26.59626548884173
k141_1216,8.424367353560893,7.007878581948666
k141_2724,17.196639213483145,28.8830257362781
k141_5666,71.6963919470347,700.5933911655675
k141_4129,9.48417373402482,12.97656047217246
k141_2735,37.09604573422669,215.27331086751147
k141_5692,24.88001,97.08666263157896
k141_4140,9.3780649898167,9.189823732210336
k141_5699,3.9635136496350367,1.9253679561117196
k141_4147,9.91723169362512,20.601784456719365
k141_1231,11.837664202004627,12.41452701072444
k141_4177,6.522770115606936,10.449636485808078
k141_1257,16.8634872462077,39.94053139767363
k141_2778,20.424413183023873,32.51113862258934
k141_1260,3.5277188502894954,2.1549494156454108
k141_2780,7.990144529147981,10.700361102978142
k141_4178,9.679642044038824,11.884119266317812
k141_2787,4.330920148298924,3.9765800061750003
k141_1287,32.328984535443915,131.93376786101706
k141_2793,7.21423043502102,9.076400723844884
k141_1288,10.732397227572225,12.324237296582936
k141_4196,6.740807546012269,5.635278075576799
k141_4199,5.8933864135702745,6.809319924548688
k141_1298,7.967575597667638,5.782850137825226
k141_4213,3.8931547225244834,3.15137758623711
k141_2828,2.755694167011162,1.3032796745364188
k141_5787,10.352464850404905,13.179550021213979
k141_1340,4.159521618747538,2.946996134071385
k141_5794,5.927482527472527,4.958329043593769
k141_5802,6.032410207361327,4.7747507916225596
k141_2854,26.155500520422446,58.43823249447052
k141_1368,7.2012445679012345,5.811366500533455
k141_5804,3.262543692722372,1.870888396214307
k141_4266,10.801202842942345,15.26532335512439
k141_5809,22.778255192307693,98.53196461295767
k141_2883,18.76230092752154,29.535496287383477
k141_2884,3.1433278072375495,1.6204588989985598
k141_4294,6.1469026553672315,6.801031417855661
k141_4306,7.169302554834723,10.371720744501259
k141_2896,14.961531644075208,26.433597190502237
k141_4311,6.584360547730829,5.83287933564524
k141_5826,12.012547116463214,11.898236192535268
k141_2910,7.746984697469746,5.928654129539466
k141_4313,23.590731649484535,113.21291360293337
k141_4314,49.25727992815601,330.1459330290888
k141_5830,25.682440038965638,69.35523441726274
k141_1459,4.093154722524483,3.9234341694797648
k141_2911,6.210246220472441,6.245049576745821
k141_2915,9.415248095238095,14.120920657596372
k141_5840,12.058492358627356,21.3789001085578
k141_2920,8.371676188700889,15.396717949367265
k141_5845,6.509036687598115,5.249143589554648
k141_2921,56.54196804195804,470.45803973250526
k141_2922,4.877849851024208,4.996632521838339
k141_5853,27.12733394366197,135.82492537393375
k141_4358,4.918464204971059,4.755873051443843
k141_4378,8.920819980112094,8.947635162048293
